StudyID,PID,neighborhood
ISS,30,17329
MLS2,106,17329
MLS2,107,17329
MLS2,102,27503
MLS2,103,27503
ISS,33,98146
ISS,26,16666
ISS,34,84341
"",,11366
"",,99504
ISS,35,
"",,
ISS,37,08827
ISS,99,45431
ISS,36,94403
ISS,38,29445
"",,98107
ISS,28,11366
ISS,42,10469
ISS,41,10469
ISS,40,10469
ISS,67,36067
ISS,44,07302
ISS,43,10549
MLS2,105,27587
"",,20912
ISS,49,45239
ISS,47,65613
ISS,46,65613
ISS,45,65613
ISS,48,18020
ISS,56,75007
"",,43560
"",,98012
ISS,51,49601
ISS,52,49601
"",,
ISS,50,Q9977
ISS,53,45701
MLS2,108,78641
"",,79382
ISS,55,43560
ISS,59,94582
MLS2,111,19977
ISS,98,45238
"",,45238
"",,k1l6x9
ISS,58,30022
ISS,118,60564
ISS,69,48084
"",,94582
"",,80233
"",,
ISS,60,94582
"",,60605
ISS,61,60605
ISS,62,15931
ISS,68,49329
ISS,63,85719
MLS2,113,77435
MLS2,112,77435
ISS,65,02090
ISS,72,12047
ISS,70,08062
ISS,64,11436
ISS,66,02127
"",,92618
ISS,71,49329
"",,98107
ISS,111,92646
"",,36067
"",,
ISS,74,02464
ISS,127,94015
ISS,80,11220
ISS,76,94536
ISS,75,94536
ISS,77,27587
ISS,78,77433
"",,98012
MLS2,114,77044
MLS2,116,20147
MLS2,115,97526
"",,07043
MLS2,117,07043
MLS2,118,92701
ISS,,53561
MLS2,155,02461
ISS,84,16505
ISS,81,35010
"",,17015
ISS,82,
ISS,104,
ISS,83,02481
"MLS2

","119
",27527
ISS,86,29016
ISS,85,29016
ISS,88,53593
"",,64506
ISS,90,65613
ISS,87,65613
MLS2,132,84121
MLS2,125,40511
MLS2,121,43015
"",,84121
"",,98606
ISS,89,94087
MLS2,120,10583
ISS,91,
ISS,92,
MLS2,122,
MLS2,123,
ISS,94,11375
ISS,93,95742
ISS,97,77494
"",,95132
ISS,142,92705
MLS2,142,84043
ISS,96,94555
MLS2,124,79382
ISS,103,45238
ISS,95,75071
MLS2,126,32317
MLS2,135,80922
"",,11375
MLS2,128,10023
ISS,100,19063
MLS2,127,
ISS,101,19063
ISS,102,03825
ISS,107,53593
ISS,108,53714
ISS,106,53562
MLS2,"138
",30097
ISS,109,88210
ISS,110,84121
MLS2,134,21042
"MLS2
","146
",10009
ISS,,02446
MLS2,"136
",94568
ISS,105,
ISS,117,28124
MLS2,129,47408
MLS2,131,10965
"",,93015
MLS2,130,4040
ISS,113,
ISS,114,
ISS,112,
MLS2,133,77379
ISS,115,
"",,
"",,
"",,94043
"MLS2
","147 ",60616
"",,04568
"",,
ISS,116,53217
ISS,119,95608
ISS,120,95608
"",,95608
ISS,121,06516
ISS,132,10465
ISS,123,80233
ISS,122,30087
MLS2,137,03825
MLS2,140,28083
MLS2,139,30045
ISS,125,91784
ISS,128,84321
"",,99504
"",,14534
ISS,126,02090
ISS,129,84045
"MLS2
","156 ",79382
"MLS2
","143
",06437
MLS2,144,
ISS,134,03064
MLS2,145,13323
"",,
ISS,131,63121
ISS,130,98107
ISS,145,80222
"",,80222
ISS,133,80634
MLS2,"175 ",11226
MLS2,"148 ",02032
"",,46307
ISS,147,29170
ISS,"62
",15931
ISS,137,87113
ISS,136,95132
ISS,152,22304
"",,24013
"",,75019
MLS2,"150 ",17015
ISS,138,20147
ISS,135,01364
"",,K1l6x9
ISS,139,K1L6X9
MLS2,152,27519
MLS2,149,27514
MLS2,151,11235
"",,30097
"","
 ",95742
"",,84037
MLS2,153,22033
ISS,140,53711
MLS2,154,73034
ISS,141,65203
"",,73025
ISS,157,30040
"",,92705
ISS,143,10312
"",,
MLS2,157,45701
ISS,146,80222
MLS2,196,93015
ISS,148,92701
ISS,149,07108
ISS,150,55125
ISS,156,47429
MLS2,180,90041
ISS,144,94541
ISS,151,11428
MLS2,159,94010
ISS,155,91911
MLS2,"163 ",77407
MLS2,170,44240
ISS,153,11428
MLS2,158,63043
MLS2,160,65203
MLS2,161,65203
"MLS2
",162,60616
"",,15931
MLS2,"165
",
ISS,154,55116
"MLS2
","164

",
ISS,158,22033
MLS2,169,53711
MLS2,"168 ",07041
"",,19468
"",,53593
MLS2,167,60192
"",,48073
MLS2,193,14086
MLS2,194,14086
MLS2,166,19468
"",,11763
MLS2,171,84121
MLS2,172,01821
MLS2,173,01821
MLS2,174,11428
"",,
"",,
MLS2,176,06416
MLS2,181,98012
"",,
MLS2,183,01907
MLS2,178,54216
MLS2,177,02081
MLS2,179,80920
MLS2,182,94552
MLS2,191,SG1 1QY
MLS2,185,52722
"MLS2 ","186 ",84037
MLS2,187,97365
MLS2,184,26505
"MLS2
","188 
",10465
MLS2,189,48073
MLS2,190,97365
"",,22039
MLS2,191,22039
MLS2,192,55379
"",,14086
"",,14086
"MLS2
","195 ",01230
"",,48310
MLS2,196,2037
MLS2,197,65201
